video_id,title,published_date,year,month,title_length
6z1JwZbX4dQ,"Po-Shen Loh: Mathematics, Math Olympiad, Combinatorics &amp; Contact Tracing | Lex Fridman Podcast #183",2021-05-14,2021,5,103
USnqkUAr_3w,Jeremi Suri: History of American Power | Lex Fridman Podcast #180,2021-04-30,2021,4,65
Pl3x4GINtBQ,"Michael Malice and Yaron Brook: Ayn Rand, Human Nature, and Anarchy | Lex Fridman Podcast #178",2021-04-24,2021,4,94
7Grseeycor4,Tyler Cowen: Economic Growth &amp; the Fight Against Conformity &amp; Mediocrity | Lex Fridman Podcast #174,2021-04-10,2021,4,107
UOEpe17nPhE,Ryan Schiller: Librex and the Free Exchange of Ideas on College Campuses | Lex Fridman Podcast #172,2021-03-30,2021,3,99
grceJbuPUXI,"Saagar Enjeti: Politics, History, and Power | Lex Fridman Podcast #167",2021-03-14,2021,3,70
CejJ2aVRUE8,Natalya Bailey: Rocket Engines and Electric Spacecraft Propulsion | Lex Fridman Podcast #157,2021-02-01,2021,2,92
6ePR2TWYVkI,Lex Fridman: Ask Me Anything - AMA January 2021 | Lex Fridman Podcast,2021-01-27,2021,1,69
I51DuprOb0o,"Dmitry Korkin: Evolution of Proteins, Viruses, Life, and AI | Lex Fridman Podcast #153",2021-01-11,2021,1,86
P6prRXkI5HM,Dmitri Dolgov: Waymo and the Future of Self-Driving Cars | Lex Fridman Podcast #147,2020-12-20,2020,12,83
L-RuvUkcyJI,"Michael Mina: Rapid Testing, Viruses, and the Engineering Mindset | Lex Fridman Podcast #146",2020-12-19,2020,12,92
bgNzUxyS-kQ,"Manolis Kellis: Meaning of Life, the Universe, and Everything | Lex Fridman Podcast #142",2020-11-30,2020,11,88
S_AFc_BXht4,"Lisa Feldman Barrett: Love, Evolution, and the Human Brain | Lex Fridman Podcast #140",2020-11-20,2020,11,85
o2nG7-eXxko,"Eric Weinstein: On the Nature of Good and Evil, Genius and Madness | Lex Fridman Podcast #134",2020-10-30,2020,10,93
Aq9UPIXbtKI,Manolis Kellis: Biology of Disease | Lex Fridman Podcast #133,2020-10-25,2020,10,61
FKCJWkPehdY,"Joe Rogan: Fear, Love, Chaos, and the Joe Rogan Experience | Lex Fridman Podcast #127",2020-09-26,2020,9,85
IT__Nrr3PNI,"James Gosling: Java, JVM, Emacs, and the Early Days of Computing | Lex Fridman Podcast #126",2020-09-24,2020,9,91
t06rkOOUa7g,"Manolis Kellis: Origin of Life, Humans, Ideas, Suffering, and Happiness | Lex Fridman Podcast #123",2020-09-12,2020,9,98
A22Ej6kb2wo,"Russ Tedrake: Underactuated Robotics, Control, Dynamics and Touch | Lex Fridman Podcast #114",2020-08-09,2020,8,92
kpiY_LemaTc,GPT-3 vs Human Brain,2020-08-01,2020,8,20
kxi-_TT_-Nc,Sergey Levine: Robotics and Machine Learning | Lex Fridman Podcast #108,2020-07-14,2020,7,71
3t06ajvBtl0,"Matt Botvinick: Neuroscience, Psychology, and AI at DeepMind | Lex Fridman Podcast #106",2020-07-03,2020,7,87
k8Zomsf3uBI,You Are Your Own Existence Proof (Karl Friston) | AI Podcast Clips with Lex Fridman,2020-07-01,2020,7,83
9LQffCdHHlQ,Robert Langer: Edison of Medicine | Lex Fridman Podcast #105,2020-06-30,2020,6,60
naed4C4hfAg,David Patterson: Computer Architecture and Data Storage | Lex Fridman Podcast #104,2020-06-27,2020,6,82
tyrPMVMb-Uw,We exist inside the story that the brain tells itself (Joscha Bach) | AI Podcast Clips,2020-06-16,2020,6,86
8mixT5_U0hk,Happiness is a cookie that your brain bakes for itself (Joscha Bach) | AI Podcast Clips,2020-06-14,2020,6,87
P-2P3MSZrBM,Joscha Bach: Artificial Consciousness and the Nature of Reality | Lex Fridman Podcast #101,2020-06-13,2020,6,90
HhY95m-WD_E,Dawn Song: Adversarial Machine Learning and Computer Security | Lex Fridman Podcast #95,2020-05-12,2020,5,87
xoVibFYi1Gs,Language or Vision - What&#39;s Harder? (Ilya Sutskever) | AI Podcast Clips,2020-05-10,2020,5,75
8A-5gIW0-eI,Harry Cliff: Particle Physics and the Large Hadron Collider | Lex Fridman Podcast #92,2020-04-29,2020,4,85
nXwpiPybr0Q,Jack Dorsey: Yang Gang Forever | AI Podcast Clips,2020-04-25,2020,4,49
fgGZMRJ15oY,Eric Weinstein&#39;s Harvard Story - The System Breaks Down in Novel Situations | AI Podcast Clips,2020-04-17,2020,4,98
vdW9XDBuxjU,Geometric Unity - A Theory of Everything (Eric Weinstein) | AI Podcast Clips,2020-04-15,2020,4,76
